R,x,x0
100,13.6,15.2
200,10.1,13.1
300,7.1,11.1
600,7.5,18.2
1000,3.2,12
1500,1.4,13.2
2000,1.9,12.7
2500,1.1,10.2
3000,1.5,17.1
